,downYear,upYear,downMonth,upMonth
11199,7,6,85,74
10452,10,8,119,101
14904,12,31,220,302
11682,2,0,21,9
13688,26,67,445,671
11340,26,48,367,531
12183,16,28,247,283
14795,22,38,343,401
14154,16,19,212,227
10233,9,15,135,174
10153,17,15,205,208
10831,0,2,9,22
10364,31,42,388,497
13311,18,33,278,346
14859,20,35,305,360
10145,31,64,493,654
14250,23,30,308,357
13821,16,52,335,513
11666,11,16,162,167
12706,24,31,291,374
10495,18,25,240,292
14541,27,69,515,637
14568,7,6,81,85
12570,20,48,370,473
11287,10,12,125,156
10858,5,9,78,93
14736,17,58,392,517
12394,16,21,213,233
14066,16,34,288,334
11041,18,20,217,253
10225,22,66,447,613
12909,17,28,241,304
10575,14,28,218,293
14912,27,32,327,389
11754,27,57,448,571
11674,23,73,468,684
14605,9,6,92,95
10807,14,21,210,231
14955,6,9,89,98
13792,20,26,270,290
14496,19,38,309,386
15325,7,11,110,110
10890,30,38,383,459
12546,29,47,420,498
13434,20,22,232,273
13573,17,27,245,285
14058,9,13,127,143
10049,4,2,41,39
10372,21,34,310,371
13442,11,27,210,255
11404,25,71,469,683
12474,7,7,96,74
12060,27,61,497,575
15456,30,45,442,474
10137,19,41,322,406
11850,27,69,492,660
15341,16,26,231,278
12503,34,46,460,511
10786,31,43,435,464
16109,19,40,305,413
13565,8,10,122,118
10524,20,24,246,291
14218,18,41,315,407
12749,23,39,339,420
10241,22,40,327,427
13549,9,12,118,140
14322,27,52,406,544
14509,19,37,305,372
27561,19,21,247,244
15069,37,59,529,623
12810,9,6,106,81
11156,18,36,289,369
11826,10,20,175,204
14533,23,32,292,374
14090,24,36,326,399
10479,14,21,216,233
13522,12,30,231,287
10591,19,22,234,263
12079,32,51,457,544
13362,9,9,104,116
12933,11,8,132,111
15659,20,55,405,493
15720,27,69,453,694
15704,11,14,140,162
13696,8,12,115,159
16176,0,1,7,19
16432,34,57,507,590
10823,19,28,276,322
11260,29,40,390,450
21573,32,61,512,605
15042,9,13,133,154
17929,11,10,116,149
11789,9,8,103,109
17128,14,22,214,242
13143,13,28,235,276
19537,18,38,305,383
11148,7,15,127,164
12298,1,2,24,26
16707,12,28,221,272
17419,0,2,15,19
18542,24,52,399,531
19131,15,35,272,334
20853,17,41,286,424
12888,16,32,279,313
14875,5,10,86,101
17232,6,11,97,134
19203,9,5,87,100
13864,1,1,15,19
19596,20,32,270,365
18198,0,2,13,21
21020,27,37,364,423
17849,1,1,16,16
10196,1,1,14,18
19027,14,28,228,284
19385,12,11,144,147
13100,19,41,320,414
21776,26,51,378,553
18411,18,59,369,562
19019,11,19,181,210
11834,6,7,81,87
18868,1,1,11,21
21370,8,22,157,219
13207,5,2,61,53
22859,7,21,156,197
22947,9,30,199,292
23229,14,36,254,370
23210,6,22,157,191
23712,20,53,351,531
23931,13,59,339,531
23421,15,22,213,241
10970,10,19,158,197
18382,17,35,276,357
12730,5,24,147,215
15368,19,30,278,320
23317,14,35,282,320
24061,3,11,71,112
24109,17,53,353,491
23130,9,15,144,167
23587,7,8,99,96
23675,3,1,37,23
22402,5,11,109,109
22680,14,31,266,288
20626,22,40,340,421
11367,6,7,70,102
24627,6,16,151,144
23296,3,6,52,70
22541,7,16,139,174
13610,7,10,103,112
20810,0,0,5,4
21290,3,4,45,64
18585,0,2,16,29
14613,2,4,44,41
23464,9,14,150,146
11391,2,8,54,76
20570,10,18,162,187
21872,0,0,4,1
22496,6,12,116,134
15085,0,0,8,5
22891,8,25,190,241
15472,12,38,270,349
12466,9,11,120,137
12431,19,43,323,439
25785,27,37,366,412
22875,1,3,27,32
12124,6,9,86,110
21055,15,21,216,235
20976,8,10,123,109
10735,3,7,53,77
15464,4,5,61,67
17582,1,4,37,40
17144,14,43,298,409
24707,7,19,147,177
19107,1,5,33,50
10559,9,19,152,203
19211,7,3,67,73
23907,3,3,39,44
19430,3,12,81,113
15149,1,4,50,48
11439,2,6,55,59
20554,0,0,5,8
10778,0,0,2,16
18163,11,53,328,450
10604,11,31,229,288
11447,9,17,146,185
21901,4,3,49,45
17005,16,48,335,443
15843,6,9,100,94
19940,5,17,116,160
10030,2,8,57,84
24141,8,19,148,190
23720,6,12,109,122
12095,13,27,224,275
23018,6,10,106,105
20108,0,0,1,2
18112,14,28,239,275
22461,6,6,76,81
17013,2,5,40,64
21768,12,14,143,183
11092,9,9,113,114
20407,10,15,147,170
19916,10,32,230,295
19828,5,4,61,66
20124,14,31,223,329
12511,10,21,192,210
22007,5,16,124,142
23173,0,0,2,7
17478,14,50,311,467
22509,17,47,328,450
16870,10,30,208,287
24184,14,30,238,301
19617,9,9,113,119
22429,8,7,106,88
21936,18,46,335,443
12343,6,5,72,93
16678,21,43,340,438
24635,14,16,181,198
19684,3,8,64,85
23886,8,7,95,98
14664,2,6,54,57
17750,16,48,341,437
21995,1,5,43,53
17806,17,32,264,336
17291,11,17,153,203
22330,6,5,71,72
11068,6,6,80,81
23683,8,9,111,107
25320,21,43,331,447
11375,1,5,43,56
22023,13,21,212,211
12757,3,2,45,36
23851,11,31,220,299
25005,13,25,215,259
17558,7,14,123,145
15835,2,8,62,74
17646,10,13,133,157
20239,10,15,153,168
22699,2,5,47,52
22082,12,27,204,279
17881,1,3,33,36
14867,4,4,66,52
21186,20,44,361,417
23747,0,0,2,3
14779,1,4,34,36
13354,10,25,210,229
12781,8,10,103,129
23528,4,7,62,81
24555,7,17,141,165
24811,16,26,247,276
25646,4,10,83,120
15667,12,39,255,376
19895,15,29,261,277
24088,10,8,111,121
21530,4,8,79,78
20204,15,31,252,321
11981,6,8,91,95
15237,8,6,90,88
10866,12,26,210,261
24096,6,10,101,130
13661,10,19,162,198
13290,7,14,120,146
17603,0,2,19,24
14525,11,17,165,189
24176,2,6,48,67
21151,1,1,19,26
19254,14,26,219,279
12490,21,43,355,423
12052,22,42,340,438
18980,9,9,123,109
11690,10,19,162,202
21549,0,5,30,48
12191,3,7,54,76
