,downYear,upYear,downMonth,upMonth,consecUp,consecDown,PosAftPos,PosAftNeg,NegAftPos,NegAftNeg
11199,7,6,85,74,5,6,33,41,41,43
10452,10,8,119,101,4,5,40,60,60,58
14904,12,31,220,302,7,8,182,120,120,99
11682,2,0,21,9,2,5,2,7,7,13
13688,26,67,445,671,15,7,417,253,254,191
11340,26,48,367,531,13,7,303,227,227,140
12183,16,28,247,283,7,8,158,125,124,122
14795,22,38,343,401,11,6,220,180,181,161
14154,16,19,212,227,8,6,115,111,112,99
10233,9,15,135,174,13,6,103,68,69,65
10153,17,15,205,208,12,6,105,101,101,102
10831,0,2,9,22,6,2,14,7,8,1
10364,31,42,388,497,10,8,269,228,227,160
13311,18,33,278,346,9,7,180,164,165,113
14859,20,35,305,360,9,13,201,159,158,146
10145,31,64,493,654,13,9,368,285,285,208
14250,23,30,308,357,13,9,192,163,162,145
13821,16,52,335,513,14,9,305,206,205,128
11666,11,16,162,167,5,6,81,85,85,77
12706,24,31,291,374,12,7,207,166,166,125
10495,18,25,240,292,12,5,155,136,136,103
14541,27,69,515,637,9,9,329,308,307,207
14568,7,6,81,85,6,5,42,42,42,38
12570,20,48,370,473,10,7,261,210,210,160
11287,10,12,125,156,8,13,90,65,64,60
10858,5,9,78,93,5,9,52,40,40,38
14736,17,58,392,517,9,6,289,228,228,163
12394,16,21,213,233,6,7,121,112,111,101
14066,16,34,288,334,7,6,172,160,160,128
11041,18,20,217,253,9,8,133,119,119,97
10225,22,66,447,613,10,9,351,261,261,186
12909,17,28,241,304,10,9,167,137,137,103
10575,14,28,218,293,10,8,169,124,124,93
14912,27,32,327,389,12,6,205,183,183,144
11754,27,57,448,571,10,8,327,244,243,204
11674,23,73,468,684,15,7,400,283,284,184
14605,9,6,92,95,7,6,40,55,54,37
10807,14,21,210,231,10,6,125,105,105,103
14955,6,9,89,98,6,6,49,48,48,41
13792,20,26,270,290,15,14,161,129,128,141
14496,19,38,309,386,10,8,222,164,163,145
15325,7,11,110,110,11,7,55,54,55,55
10890,30,38,383,459,11,7,257,200,201,182
12546,29,47,420,498,9,8,272,226,226,193
13434,20,22,232,273,10,7,163,110,110,121
13573,17,27,245,285,12,7,160,125,124,120
14058,9,13,127,143,7,5,77,65,66,61
10049,4,2,41,39,7,5,20,18,18,23
10372,21,34,310,371,10,9,204,167,165,143
13442,11,27,210,255,11,6,146,109,108,101
11404,25,71,469,683,12,9,413,269,269,200
12474,7,7,96,74,4,7,32,41,42,53
12060,27,61,497,575,12,13,317,256,257,240
15456,30,45,442,474,12,9,247,227,227,213
10137,19,41,322,406,14,6,228,176,176,146
11850,27,69,492,660,14,6,383,277,276,215
15341,16,26,231,278,8,8,151,127,126,104
12503,34,46,460,511,9,8,268,242,242,218
10786,31,43,435,464,10,9,247,217,217,217
16109,19,40,305,413,11,7,222,190,190,115
13565,8,10,122,118,10,5,51,66,65,56
10524,20,24,246,291,8,8,162,128,128,117
14218,18,41,315,407,14,10,245,160,160,155
12749,23,39,339,420,12,7,254,165,165,173
10241,22,40,327,427,11,5,251,175,176,150
13549,9,12,118,140,10,8,73,66,66,52
14322,27,52,406,544,15,5,308,236,236,169
14509,19,37,305,372,8,7,198,174,174,130
27561,19,21,247,244,7,6,124,120,119,127
15069,37,59,529,623,10,9,336,287,286,242
12810,9,6,106,81,6,6,34,47,46,59
11156,18,36,289,369,13,11,208,161,160,128
11826,10,20,175,204,8,12,108,95,95,78
14533,23,32,292,374,9,8,210,164,163,128
14090,24,36,326,399,14,8,228,170,170,156
10479,14,21,216,233,9,6,109,123,122,91
13522,12,30,231,287,9,7,155,130,131,100
10591,19,22,234,263,11,8,150,113,112,121
